[2019-01-21 11:58:57,048] {/Users/jawdat/.pyenv/versions/nms_cloud/lib/python2.7/site-packages/werkzeug/_internal.py:88} INFO -  * Running on http://0.0.0.0:4243/ (Press CTRL+C to quit)
[2019-01-21 12:03:01,805] {background.py:112} INFO - Running background service with default environment
[2019-01-21 12:03:01,929] {/Users/jawdat/.pyenv/versions/nms_cloud/lib/python2.7/site-packages/werkzeug/_internal.py:88} INFO -  * Running on http://0.0.0.0:4243/ (Press CTRL+C to quit)
[2019-01-21 12:03:11,927] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-01-21 12:03:11,932] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-01-21 12:03:17,108] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:166} WARNING - Error collecting interface data for device jakarta
[2019-01-21 12:03:17,108] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:166} WARNING - Error collecting interface data for device jakarta
[2019-01-21 12:03:21,941] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-01-21 12:03:21,941] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-01-21 12:03:27,965] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-01-21 12:03:27,966] {background.py:74} INFO - Data Interface not none
[2019-01-21 12:03:27,970] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-01-21 12:03:27,971] {background.py:74} INFO - Data Interface not none
[2019-01-21 12:03:31,933] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-01-21 12:03:31,937] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 13:58:26,526] {background.py:123} INFO - Running background service with default environment
[2019-02-11 13:58:26,847] {/Users/jawdat/.pyenv/versions/nms_cloud/lib/python2.7/site-packages/werkzeug/_internal.py:88} INFO -  * Running on http://0.0.0.0:4243/ (Press CTRL+C to quit)
[2019-02-11 13:58:36,646] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 13:58:36,647] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 13:58:36,659] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
[2019-02-11 13:58:36,662] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device medan
[2019-02-11 13:58:36,995] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:58:36,995] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:58:36,999] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:58:37,000] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:58:38,347] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:58:38,349] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:58:38,349] {background.py:74} INFO - Data Interface not none
